GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maps,edu.brown.cs.rhill6.stars,KdNode,0,43,0,0,0,15,0,9,0,9
maps,edu.brown.cs.rhill6.stars,StarSearcher,20,267,9,23,8,53,9,12,0,5
maps,edu.brown.cs.rhill6.stars,ParseStars,20,109,3,5,7,22,3,3,0,2
maps,edu.brown.cs.rhill6.stars,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
maps,edu.brown.cs.rhill6.stars,CsvParser,6,28,1,3,3,7,1,3,0,2
maps,edu.brown.cs.rhill6.stars,Main.ReturnHandler,363,0,18,0,73,0,11,0,2,0
maps,edu.brown.cs.rhill6.stars,Main,160,25,2,0,41,7,6,3,5,3
maps,edu.brown.cs.rhill6.stars,KdTree,0,331,4,38,0,77,4,31,0,14
maps,edu.brown.cs.rhill6.stars,Star,42,208,3,25,5,36,4,20,1,9
maps,edu.brown.cs.rhill6.stars,REPL,170,0,18,0,41,0,14,0,5,0
maps,edu.brown.cs.rhill6.stars,Main.FrontHandler,55,0,0,0,17,0,1,0,1,0
maps,edu.brown.cs.rhill6.mockaroo,ParseMock,120,0,12,0,34,0,8,0,2,0
maps,edu.brown.cs.rhill6.mockaroo,MockPerson,27,0,0,0,9,0,2,0,2,0
maps,edu.brown.cs.rhill6.map,MapReader,13,122,2,6,4,42,2,11,0,9
maps,edu.brown.cs.rhill6.map,Graph.NodeDistance,6,24,0,0,2,8,2,3,2,3
maps,edu.brown.cs.rhill6.map,Graph.NodeDistanceCompare,0,12,0,0,0,2,0,2,0,2
maps,edu.brown.cs.rhill6.map,SQLcommands,24,37,0,0,12,14,0,4,0,4
maps,edu.brown.cs.rhill6.map,SearchWays,14,84,2,4,5,22,2,4,0,3
maps,edu.brown.cs.rhill6.map,Graph,27,249,5,19,11,55,5,14,0,7
maps,edu.brown.cs.rhill6.map,AlexKDTree,3,327,4,34,1,61,4,22,0,7
maps,edu.brown.cs.rhill6.map,MapWay,3,33,0,0,1,11,1,6,1,6
maps,edu.brown.cs.rhill6.map,AlexKDTree.NodeCompare,0,25,0,0,0,4,0,2,0,2
maps,edu.brown.cs.rhill6.map,Graph.new CacheLoader() {...},0,9,0,0,0,2,0,2,0,2
maps,edu.brown.cs.rhill6.map,MapNode,13,222,4,14,5,48,4,14,0,9
maps,edu.brown.cs.rhill6.map,AlexKDTree.DistanceCompare,0,25,0,0,0,5,0,2,0,2
maps,edu.brown.cs.rhill6.map,SearchNearest,12,68,3,3,5,18,3,3,0,3
maps,edu.brown.cs.rhill6.map,SearchRoute,35,266,15,17,16,52,15,8,0,7
